CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
VANDALISM,01/08/2030 06:30:00 PM,14-027546,VANDALISM,30X,2500 HAVENSCOURT BLVD,Oakland,CA,"2500 HAVENSCOURT BLVD
Oakland, CA
(37.76682643300046, -122.18567427899973)"
VANDALISM,01/01/2040 12:00:00 AM,14-031456,"VANDALISM [UNDER $1,000] (AMENDED)",20X,2600 E 12TH ST,Oakland,CA,"2600 E 12TH ST
Oakland, CA
(37.780514611000456, -122.2332951409997)"
STOLEN VEHICLE,07/02/2914 07:00:00 PM,14-033621,VEHICLE THEFT - AUTO,31Y,300 HUNTER AVE,Oakland,CA,"300 HUNTER AVE
Oakland, CA
(37.73186561200049, -122.18344968499969)"
DISORDERLY CONDUCT,01/07/2020 05:00:00 PM,14-018939,SUPV/ETC PROSTITUTION,19X,1700 EMBARCADERO,Oakland,CA,"1700 EMBARCADERO
Oakland, CA
(37.7850162310005, -122.24417795299968)"
BURG - AUTO,04/14/2019 11:00:00 AM,14-019401,BURGLARY-AUTO,12X,300 ORANGE ST,Oakland,CA,"300 ORANGE ST
Oakland, CA
(37.81594611000048, -122.2565967429997)"
ROBBERY,01/11/2030 07:00:00 PM,14-023460,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",23X,3600 BLK OF INTERNATIONAL BL,Oakland,CA,"3600 BLK OF INTERNATIONAL BL
Oakland, CA
(37.80508210800048, -122.27306651899971)"
STOLEN VEHICLE,05/07/2016 12:00:00 PM,14-023925,VEHICLE THEFT - AUTO,27X,2200 47TH AVE,Oakland,CA,"2200 47TH AVE
Oakland, CA
(37.77662198100046, -122.2061146049997)"
VANDALISM,02/01/2040 09:40:00 PM,14-035766,"VANDALISM [UNDER $1,000] (AMENDED)",09X,600 FAIRMOUNT AV,Oakland,CA,"600 FAIRMOUNT AV
Oakland, CA
(37.82206356600045, -122.25385249399972)"
BURG - RESIDENTIAL,01/01/2034 10:00:00 AM,14-047941,BURGLARY-FORCIBLE ENTRY,31Z,11100 ACALANES DR,Oakland,CA,"11100 ACALANES DR
Oakland, CA
(37.72871355900048, -122.17302913799972)"
MISDEMEANOR ASSAULT,01/07/2019 06:27:00 PM,14-054853,SC BATTERY,34X,1400 89TH AV,Oakland,CA,"1400 89TH AV
Oakland, CA
(37.7503827540005, -122.17475164499967)"
DOMESTIC VIOLENCE,11/23/2015 06:30:00 PM,15-062331,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26X,1300 52ND AV,Oakland,CA,"1300 52ND AV
Oakland, CA
(37.7678, -122.207821)"
DISORDERLY CONDUCT,11/23/2015 02:45:00 AM,15-062381,DISTURB THE PEACE,17X,2000 5TH AV,Oakland,CA,"2000 5TH AV
Oakland, CA
(37.799695, -122.248284)"
MISDEMEANOR ASSAULT,11/23/2015 04:40:00 PM,15-062520,ASSAULT WITH FIREARM ON PERSON,05X,1000 14TH ST,Oakland,CA,"1000 14TH ST
Oakland, CA
(37.808911, -122.282872)"
ROBBERY,11/23/2015 04:25:00 PM,15-062516,ROBBERY-FIREARM,26Y,7900 INTERNATIONAL BLVD,Oakland,CA,"7900 INTERNATIONAL BLVD
Oakland, CA
(37.756946, -122.182237)"
PETTY THEFT,11/23/2015 03:18:00 PM,15-062504,THEFT,09X,100 41ST ST,Oakland,CA,"100 41ST ST
Oakland, CA
(37.826131, -122.251347)"
NARCOTICS,11/23/2015 01:30:00 PM,15-062472,POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE,26Y,1300 69TH AV,Oakland,CA,"1300 69TH AV
Oakland, CA
(37.76048, -122.190542)"
DOMESTIC VIOLENCE,11/23/2015 08:00:00 PM,15-062557,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,03Y,900 JEFFERSON ST,Oakland,CA,"900 JEFFERSON ST
Oakland, CA
(37.802287, -122.276933)"
VANDALISM,11/23/2015 06:23:00 PM,15-062531,VANDALISM-$400,26Y,6800 HAWLEY ST,Oakland,CA,"6800 HAWLEY ST
Oakland, CA
(37.757289, -122.197485)"
DOMESTIC VIOLENCE,11/23/2015 06:09:00 PM,15-062530,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,22X,4200 LINNET AV,Oakland,CA,"4200 LINNET AV
Oakland, CA
(37.80645, -122.204387)"
RECOVERED VEHICLE - OAKLAND STOLEN,11/23/2015 03:00:00 PM,15-062526,VEHICLE THEFT - AUTO,21Y,2300 FRUITVALE AV,Oakland,CA,"2300 FRUITVALE AV
Oakland, CA
(37.785579, -122.222024)"
BURG - RESIDENTIAL,11/23/2015 09:45:00 AM,15-062541,BURGLARY-FORCIBLE ENTRY,25Y,700 CANYON OAKS DR,Oakland,CA,"700 CANYON OAKS DR
Oakland, CA
(37.773615, -122.144338)"
MISDEMEANOR ASSAULT,11/23/2015 03:00:00 PM,15-062495,BATTERY,23X,4000 E 18TH ST,Oakland,CA,"4000 E 18TH ST
Oakland, CA
(37.776614, -122.216367)"
ROBBERY,11/23/2015 10:29:00 PM,15-062540,"SC ROBBERY - HANDS, FISTS, FEET, ETC, - AGGRAVATED",99X,3900 SAN PABLO AVENUE,Oakland,CA,"3900 SAN PABLO AVENUE
Oakland, CA
(37.829994, -122.279465)"
BURG - AUTO,11/23/2015 07:21:00 AM,15-062456,BURGLARY-AUTO,13Y,00 JEWELL CT,Oakland,CA,"00 JEWELL CT
Oakland, CA
"
ROBBERY,11/23/2015 09:40:00 PM,15-062539,ROBBERY-FIREARM,24Y,3800 DALE PL,Oakland,CA,"3800 DALE PL
Oakland, CA
(37.786529, -122.204528)"
DOMESTIC VIOLENCE,11/24/2015 12:01:00 AM,15-062556,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,21Y,2300 FRUITVALE AV,Oakland,CA,"2300 FRUITVALE AV
Oakland, CA
(37.785579, -122.222024)"
STOLEN VEHICLE,11/23/2015 07:30:00 AM,15-062406,VEHICLE THEFT - AUTO,27X,2200 VICKSBURG AV,Oakland,CA,"2200 VICKSBURG AV
Oakland, CA
(37.776413, -122.203498)"
FELONY ASSAULT,11/23/2015 05:48:00 PM,15-062524,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,07X,900 W GRAND AV,Oakland,CA,"900 W GRAND AV
Oakland, CA
(37.814566, -122.278616)"
BURG - AUTO,11/23/2015 10:53:00 AM,15-062429,BURGLARY-AUTO,18Y,2200 E 32ND ST,Oakland,CA,"2200 E 32ND ST
Oakland, CA
(37.799021, -122.225969)"
DOMESTIC VIOLENCE,11/23/2015 04:10:00 PM,15-062510,THREAT CRIME:INT:TERRORIZE,10X,900 56TH ST,Oakland,CA,"900 56TH ST
Oakland, CA
(37.840144, -122.274089)"
RECOVERED O/S STOLEN,11/23/2015 12:22:00 PM,15-062457,VEHICLE THEFT - AUTO,03X,400 13TH ST,Oakland,CA,"400 13TH ST
Oakland, CA
(37.803281, -122.270706)"
MISDEMEANOR ASSAULT,11/23/2015 10:30:00 AM,15-062469,EXHIBIT FIREARM,34X,1600 AUSEON AV,Oakland,CA,"1600 AUSEON AV
Oakland, CA
(37.75327, -122.174124)"
STOLEN VEHICLE,11/23/2015 03:00:00 AM,15-062494,VEHICLE THEFT - AUTO,24X,2300 38TH AV,Oakland,CA,"2300 38TH AV
Oakland, CA
(37.783362, -122.210532)"
MISDEMEANOR ASSAULT,11/23/2015 02:03:00 PM,15-062488,BATTERY,07X,2300 SAN PABLO AV,Oakland,CA,"2300 SAN PABLO AV
Oakland, CA
(37.8135, -122.27416)"
DOMESTIC VIOLENCE,11/23/2015 12:30:00 PM,15-062511,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27X,4600 BOND ST,Oakland,CA,"4600 BOND ST
Oakland, CA
(37.772904, -122.210112)"
VANDALISM,11/23/2015 09:00:00 AM,15-062552,VANDALISM [UNDER $400],13Y,5500 MERRIEWOOD DR,Oakland,CA,"5500 MERRIEWOOD DR
Oakland, CA
(37.83928, -122.210622)"
DOMESTIC VIOLENCE,11/23/2015 03:55:00 PM,15-062508,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,05X,800 W GRAND AV,Oakland,CA,"800 W GRAND AV
Oakland, CA
(37.813581, -122.276135)"
VANDALISM,11/23/2015 11:00:00 PM,15-062561,"VANDALISM [UNDER $1,000] (AMENDED)",08X,2500 BROADWAY,Oakland,CA,"2500 BROADWAY
Oakland, CA
(37.814097, -122.265002)"
MISDEMEANOR ASSAULT,11/23/2015 06:30:00 AM,15-062388,BATTERY,30Y,8000 MACARTHUR BLVD,Oakland,CA,"8000 MACARTHUR BLVD
Oakland, CA
(37.76425, -122.166239)"
MISDEMEANOR ASSAULT,11/23/2015 08:00:00 AM,15-062432,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,08X,500 34TH ST,Oakland,CA,"500 34TH ST
Oakland, CA
(37.822464, -122.266248)"
EMBEZZLEMENT,11/23/2015 10:45:00 AM,15-062542,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,08X,200 FAIRMOUNT AV,Oakland,CA,"200 FAIRMOUNT AV
Oakland, CA
(37.817489, -122.260024)"
STOLEN VEHICLE,11/23/2015 09:00:00 AM,15-062529,VEHICLE THEFT - AUTO,28X,2900 MAXWELL AV,Oakland,CA,"2900 MAXWELL AV
Oakland, CA
(37.779764, -122.194907)"
STOLEN VEHICLE,11/23/2015 09:01:00 AM,15-062407,VEHICLE THEFT - AUTO,28X,5000 FLEMING AV,Oakland,CA,"5000 FLEMING AV
Oakland, CA
(37.778821, -122.195845)"
MISDEMEANOR ASSAULT,11/23/2015 12:25:00 AM,15-062368,EXHIBIT FIREARM,23X,1800 41ST AV,Oakland,CA,"1800 41ST AV
Oakland, CA
(37.775828, -122.21447)"
STOLEN VEHICLE,11/23/2015 12:00:00 AM,15-062395,VEHICLE THEFT - OTHER VEHICLES,09X,100 MOSS AV,Oakland,CA,"100 MOSS AV
Oakland, CA
(37.820529, -122.253125)"
DOMESTIC VIOLENCE,11/23/2015 12:43:00 PM,15-062463,THREAT CRIME:INT:TERRORIZE,33X,9600 E ST,Oakland,CA,"9600 E ST
Oakland, CA
(37.742882, -122.177586)"
ROBBERY,11/23/2015 10:00:00 PM,15-062345,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",33X,1100 83RD AV,Oakland,CA,"1100 83RD AV
Oakland, CA
(37.752562, -122.183139)"
PETTY THEFT,11/23/2015 11:35:00 AM,15-915597,THEFT,31X,8300 CAPWELL DR,Oakland,CA,"8300 CAPWELL DR
Oakland, CA
(37.736676, -122.201235)"
STOLEN VEHICLE,11/23/2015 11:30:00 AM,15-062564,SC STOLEN VEHICLE - AUTO,33X,1100 92ND AV,Oakland,CA,"1100 92ND AV
Oakland, CA
(37.746095, -122.178797)"
BURG - RESIDENTIAL,11/24/2015 07:45:00 AM,15-062713,BURGLARY-FORCIBLE ENTRY,16Y,3900 CANON AV,Oakland,CA,"3900 CANON AV
Oakland, CA
(37.803132, -122.217645)"
DOMESTIC VIOLENCE,11/25/2015 02:50:00 AM,15-062755,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,32Y,2600 109TH AV,Oakland,CA,"2600 109TH AV
Oakland, CA
(37.741379, -122.149473)"
THREATS,11/24/2015 03:29:00 PM,15-062716,THREAT CRIME:INT:TERRORIZE,26X,500 HIGH ST,Oakland,CA,"500 HIGH ST
Oakland, CA
(37.767129, -122.221759)"
NARCOTICS,11/24/2015 08:30:00 AM,15-062602,POSSESS CONTROLLED SUBSTANCE,20X,1200 26TH AV,Oakland,CA,"1200 26TH AV
Oakland, CA
(37.78056, -122.233381)"
THREATS,11/24/2015 04:20:00 PM,15-062709,THREAT CRIME:INT:TERRORIZE,27X,2000 VICKSBURG AV,Oakland,CA,"2000 VICKSBURG AV
Oakland, CA
(37.773498, -122.202951)"
STOLEN VEHICLE,11/24/2015 08:00:00 AM,15-062592,VEHICLE THEFT - AUTO,31Y,600 CLARA ST,Oakland,CA,"600 CLARA ST
Oakland, CA
(37.737576, -122.187486)"
STOLEN VEHICLE,11/23/2015 10:35:00 PM,15-062546,VEHICLE THEFT - AUTO,17Y,2300 14TH AV,Oakland,CA,"2300 14TH AV
Oakland, CA
(37.794962, -122.23768)"
ROBBERY,11/24/2015 10:11:00 AM,15-062635,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",02X,800 UNION ST,Oakland,CA,"800 UNION ST
Oakland, CA
(37.8055, -122.289949)"
STOLEN VEHICLE,11/23/2015 12:40:00 PM,15-062464,VEHICLE THEFT - AUTO,23X,3500 E 16TH ST,Oakland,CA,"3500 E 16TH ST
Oakland, CA
(37.778148, -122.220961)"
BURG - COMMERCIAL,11/24/2015 07:45:00 AM,15-062725,BURGLARY-FORCIBLE ENTRY,10X,1000 55TH ST,Oakland,CA,"1000 55TH ST
Oakland, CA
(37.838977, -122.278151)"
WEAPONS,11/24/2015 06:00:00 AM,15-062581,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,27X,5400 FOOTHILL BLVD,Oakland,CA,"5400 FOOTHILL BLVD
Oakland, CA
(37.772624, -122.198401)"
,11/25/2015 07:21:00 AM,15-062764,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,12X,400 63RD ST,Oakland,CA,"400 63RD ST
Oakland, CA
(37.849237, -122.256786)"
STOLEN VEHICLE,11/23/2015 09:00:00 PM,15-062604,VEHICLE THEFT - AUTO,18Y,2000 E 22ND ST,Oakland,CA,"2000 E 22ND ST
Oakland, CA
(37.791607, -122.234385)"
PETTY THEFT,11/23/2015 01:51:00 PM,15-062479,THEFT,31Z,10600 PEARMAIN ST,Oakland,CA,"10600 PEARMAIN ST
Oakland, CA
(37.733931, -122.175878)"
STOLEN VEHICLE,11/24/2015 06:30:00 PM,15-062727,VEHICLE THEFT - AUTO,27Y,1900 SEMINARY AV,Oakland,CA,"1900 SEMINARY AV
Oakland, CA
(37.767336, -122.196349)"
STOLEN VEHICLE,11/23/2015 07:00:00 PM,15-062587,VEHICLE THEFT - AUTO,33X,900 83RD AV,Oakland,CA,"900 83RD AV
Oakland, CA
(37.749534, -122.188921)"
BURG - COMMERCIAL,11/24/2015 05:27:00 PM,15-062706,BURGLARY-FORCIBLE ENTRY,03X,700 MADISON ST,Oakland,CA,"700 MADISON ST
Oakland, CA
(37.796709, -122.267071)"
STOLEN VEHICLE,11/23/2015 03:20:00 PM,15-062600,VEHICLE THEFT - AUTO,34X,9500 INTERNATIONAL BLVD,Oakland,CA,"9500 INTERNATIONAL BLVD
Oakland, CA
(37.746541, -122.172047)"
STOLEN VEHICLE,11/23/2015 11:00:00 PM,15-062595,VEHICLE THEFT - AUTO,17Y,1300 E 31ST ST,Oakland,CA,"1300 E 31ST ST
Oakland, CA
(37.799847, -122.234451)"
NARCOTICS,11/24/2015 08:10:00 PM,15-062724,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,20X,2400 INTERNATIONAL BLVD,Oakland,CA,"2400 INTERNATIONAL BLVD
Oakland, CA
(37.782374, -122.234215)"
BURG - AUTO,11/24/2015 01:00:00 PM,15-062704,BURGLARY-AUTO,07X,4300 SHELLMOUND ST,Oakland,CA,"4300 SHELLMOUND ST
Oakland, CA
(37.831251, -122.292917)"
STOLEN VEHICLE,11/23/2015 07:00:00 PM,15-062553,VEHICLE THEFT - AUTO,23X,1800 34TH AV,Oakland,CA,"1800 34TH AV
Oakland, CA
(37.781533, -122.221411)"
PETTY THEFT,11/23/2015 06:00:00 PM,15-062730,THEFT,29X,3200 63RD AV,Oakland,CA,"3200 63RD AV
Oakland, CA
(37.773805, -122.181516)"
DOMESTIC VIOLENCE,11/24/2015 07:40:00 PM,15-062722,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,07X,1000 26TH ST,Oakland,CA,"1000 26TH ST
Oakland, CA
(37.818029, -122.279784)"
FRAUD,11/23/2015 02:30:00 AM,15-915595,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,32Y,2600 TRUMAN AV,Oakland,CA,"2600 TRUMAN AV
Oakland, CA
(37.74595, -122.153382)"
ROBBERY,11/24/2015 06:00:00 AM,15-062577,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",10Y,900 40TH ST,Oakland,CA,"900 40TH ST
Oakland, CA
(37.830701, -122.273908)"
BURG - AUTO,11/23/2015 03:20:00 AM,15-915589,BURGLARY-AUTO,13Y,900 MOUNTAIN BLVD,Oakland,CA,"900 MOUNTAIN BLVD
Oakland, CA
(37.841567, -122.221319)"
DISORDERLY CONDUCT,11/24/2015 04:47:00 PM,15-062701,DISTURB THE PEACE,26Y,800 69TH AV,Oakland,CA,"800 69TH AV
Oakland, CA
(37.755298, -122.198672)"
VANDALISM,11/23/2015 02:00:00 AM,15-062446,VANDALISM,21X,2700 E 23RD ST,Oakland,CA,"2700 E 23RD ST
Oakland, CA
(37.786945, -122.225234)"
FELONY ASSAULT,11/24/2015 09:34:00 PM,15-062742,ANYONE WHO WILLFULLY DISCHARGES A FIREARM IN A GROSSLY NEGLIGENT MANNER,27X,2100 51ST AV,Oakland,CA,"2100 51ST AV
Oakland, CA
(37.773727, -122.204255)"
DISORDERLY CONDUCT,11/23/2015 02:00:00 PM,15-062663,DISTURB THE PEACE,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
MISDEMEANOR ASSAULT,11/24/2015 09:08:00 PM,15-062728,BATTERY,26Y,1300 66TH AV,Oakland,CA,"1300 66TH AV
Oakland, CA
(37.762748, -122.193162)"
MISDEMEANOR ASSAULT,11/24/2015 04:15:00 AM,15-062571,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,02X,1100 CHESTNUT ST,Oakland,CA,"1100 CHESTNUT ST
Oakland, CA
(37.807326, -122.285763)"
STOLEN VEHICLE,11/23/2015 07:00:00 AM,15-062596,VEHICLE THEFT - AUTO,26X,700 INDEPENDENT RD,Oakland,CA,"700 INDEPENDENT RD
Oakland, CA
(37.757129, -122.205212)"
STOLEN VEHICLE,11/23/2015 08:45:00 PM,15-062617,VEHICLE THEFT - AUTO,09X,00 WESTALL AV,Oakland,CA,"00 WESTALL AV
Oakland, CA
"
BURG - AUTO,11/24/2015 12:45:00 PM,15-062673,BURGLARY-AUTO,31Y,8300 BALDWIN ST,Oakland,CA,"8300 BALDWIN ST
Oakland, CA
(37.746373, -122.193919)"
,11/24/2015 10:40:00 AM,15-062633,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,04X,300 20TH ST,Oakland,CA,"300 20TH ST
Oakland, CA
(37.807627, -122.263617)"
STOLEN VEHICLE,11/23/2015 10:00:00 PM,15-062591,VEHICLE THEFT - AUTO,19X,900 E 10TH ST,Oakland,CA,"900 E 10TH ST
Oakland, CA
(37.790741, -122.253217)"
STOLEN VEHICLE,11/23/2015 05:00:00 PM,15-062657,VEHICLE THEFT - AUTO,24X,3500 LYON AV,Oakland,CA,"3500 LYON AV
Oakland, CA
(37.787043, -122.211972)"
PETTY THEFT,11/24/2015 02:40:00 AM,15-062567,THEFT,09X,5100 BROADWAY,Oakland,CA,"5100 BROADWAY
Oakland, CA
(37.835168, -122.251805)"
STOLEN VEHICLE,11/23/2015 03:15:00 AM,15-062544,VEHICLE THEFT - AUTO,31Z,800 107TH AV,Oakland,CA,"800 107TH AV
Oakland, CA
(37.733529, -122.174973)"
GRAND THEFT,11/23/2015 09:30:00 PM,15-062623,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,01X,400 2ND ST,Oakland,CA,"400 2ND ST
Oakland, CA
(37.795225, -122.274218)"
DOMESTIC VIOLENCE,11/24/2015 10:58:00 PM,15-062743,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,19X,200 E 12TH ST,Oakland,CA,"200 E 12TH ST
Oakland, CA
(37.797265, -122.257298)"
STOLEN VEHICLE,11/24/2015 12:30:00 PM,15-062715,VEHICLE THEFT - AUTO,11X,5300 TELEGRAPH AV,Oakland,CA,"5300 TELEGRAPH AV
Oakland, CA
(37.839028, -122.262062)"
OTHER,11/23/2015 12:00:00 AM,15-062503,CRUELTY TO ELDER/DEPENDANT ADULT:GBI/DEATH LIKELY,14X,300 MACARTHUR BLVD,Oakland,CA,"300 MACARTHUR BLVD
Oakland, CA
(37.817514, -122.25297)"
MISDEMEANOR ASSAULT,11/25/2015 12:30:00 AM,15-062754,BATTERY,06X,3000 WEST ST,Oakland,CA,"3000 WEST ST
Oakland, CA
(37.820241, -122.273498)"
STOLEN VEHICLE,11/23/2015 11:25:00 AM,15-062452,VEHICLE THEFT - AUTO,27X,2400 POTTER ST,Oakland,CA,"2400 POTTER ST
Oakland, CA
(37.777536, -122.202213)"
STOLEN VEHICLE,11/24/2015 08:15:00 AM,15-062712,VEHICLE THEFT - AUTO,22X,2400 MONTANA ST,Oakland,CA,"2400 MONTANA ST
Oakland, CA
(37.7984, -122.215859)"
ROBBERY,11/24/2015 09:20:00 PM,15-062732,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",08X,3800 TELEGRAPH AV,Oakland,CA,"3800 TELEGRAPH AV
Oakland, CA
(37.826441, -122.265173)"
BURG - RESIDENTIAL,11/24/2015 02:30:00 PM,15-062726,BURGLARY-NO FORCE,28X,3200 BIRDSALL AV,Oakland,CA,"3200 BIRDSALL AV
Oakland, CA
(37.781102, -122.19204)"
STOLEN VEHICLE,11/23/2015 08:14:00 AM,15-062597,VEHICLE THEFT - AUTO,10X,5800 OCCIDENTAL ST,Oakland,CA,"5800 OCCIDENTAL ST
Oakland, CA
(37.842653, -122.275707)"
ROBBERY,11/23/2015 04:30:00 PM,15-062572,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",34X,1600 92ND AV,Oakland,CA,"1600 92ND AV
Oakland, CA
(37.74973, -122.171566)"
NARCOTICS,11/24/2015 09:00:00 PM,15-062736,POSSESS/PURCHASE COCAINE BASE FOR SALE,32Y,10300 MACARTHUR BLVD,Oakland,CA,"10300 MACARTHUR BLVD
Oakland, CA
(37.744125, -122.153621)"
STOLEN VEHICLE,11/24/2015 10:00:00 AM,15-062735,VEHICLE THEFT - AUTO,27Y,2500 60TH AV,Oakland,CA,"2500 60TH AV
Oakland, CA
(37.770223, -122.190801)"
BURG - RESIDENTIAL,11/24/2015 07:30:00 AM,15-062707,BURGLARY-NO FORCE,35Y,00 MARLOW DR,Oakland,CA,"00 MARLOW DR
Oakland, CA
"
GRAND THEFT,11/23/2015 03:00:00 PM,15-062562,GRAND THEFT,27X,5000 CONGRESS AV,Oakland,CA,"5000 CONGRESS AV
Oakland, CA
(37.776685, -122.202477)"
PETTY THEFT,11/24/2015 01:11:00 PM,15-062665,THEFT,09X,4200 MONTGOMERY ST,Oakland,CA,"4200 MONTGOMERY ST
Oakland, CA
(37.828704, -122.252347)"
STOLEN VEHICLE,11/24/2015 04:00:00 PM,15-062848,VEHICLE THEFT - AUTO,33X,1100 92ND AV,Oakland,CA,"1100 92ND AV
Oakland, CA
(37.746095, -122.178797)"
BURG - AUTO,11/24/2015 07:15:00 PM,15-915673,BURGLARY-AUTO,03Y,800 WASHINGTON ST,Oakland,CA,"800 WASHINGTON ST
Oakland, CA
(37.80069, -122.275)"
BURG - AUTO,11/24/2015 07:45:00 AM,15-915682,BURGLARY-AUTO,31X,8400 EDGEWATER DR,Oakland,CA,"8400 EDGEWATER DR
Oakland, CA
(37.737486, -122.198228)"
MISDEMEANOR ASSAULT,11/26/2015 04:30:00 AM,15-062754,ASSAULT WITH FIREARM ON PERSON,33X,1200 94TH AVE,Oakland,CA,"1200 94TH AVE
Oakland, CA
(37.745636, -122.175912)"
VANDALISM,11/24/2015 01:00:00 AM,15-062609,"VANDALISM [UNDER $1,000] (AMENDED)",32X,1100 104TH AV,Oakland,CA,"1100 104TH AV
Oakland, CA
(37.737574, -122.172011)"
DOMESTIC VIOLENCE,11/25/2015 09:15:00 AM,15-062781,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26X,4900 COLISEUM WY,Oakland,CA,"4900 COLISEUM WY
Oakland, CA
(37.764425, -122.215678)"
BURG - AUTO,11/23/2015 11:35:00 AM,15-915675,BURGLARY-AUTO,31X,8300 OAKPORT ST,Oakland,CA,"8300 OAKPORT ST
Oakland, CA
(37.740688, -122.198423)"
DOMESTIC VIOLENCE,11/25/2015 09:03:00 AM,15-062780,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,07X,3200 HELEN ST,Oakland,CA,"3200 HELEN ST
Oakland, CA
(37.824693, -122.286056)"
ROBBERY,11/25/2015 11:30:00 PM,15-062882,ROBBERY-FIREARM,19X,1900 9TH AVE,Oakland,CA,"1900 9TH AVE
Oakland, CA
(37.796245, -122.245772)"
BURG - AUTO,11/24/2015 07:45:00 PM,15-915687,BURGLARY-AUTO,15X,1600 3RD AV,Oakland,CA,"1600 3RD AV
Oakland, CA
(37.798622, -122.25353)"
VANDALISM,11/25/2015 07:50:00 AM,15-915678,VANDALISM,29X,6300 CAMDEN ST,Oakland,CA,"6300 CAMDEN ST
Oakland, CA
(37.773024, -122.182723)"
DOMESTIC VIOLENCE,11/25/2015 07:00:00 PM,15-062913,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,29X,5400 BANCROFT AV E,Oakland,CA,"5400 BANCROFT AV E
Oakland, CA
(37.771761, -122.200788)"
VANDALISM,11/23/2015 11:30:00 PM,15-062694,VANDALISM [UNDER $400],24Y,2800 OCTAVIA ST,Oakland,CA,"2800 OCTAVIA ST
Oakland, CA
(37.78841, -122.207605)"
VANDALISM,11/24/2015 09:15:00 PM,15-062792,VANDALISM:DEFACE PROPERTY,30Y,7200 BANCROFT AV,Oakland,CA,"7200 BANCROFT AV
Oakland, CA
(37.766222, -122.177435)"
STOLEN VEHICLE,11/24/2015 03:00:00 PM,15-062763,VEHICLE THEFT - AUTO,21Y,3100 FRUITVALE AV,Oakland,CA,"3100 FRUITVALE AV
Oakland, CA
(37.79598, -122.21788)"
MISDEMEANOR ASSAULT,11/25/2015 06:18:00 PM,15-062853,BATTERY,24X,4100 AQUA VISTA ST,Oakland,CA,"4100 AQUA VISTA ST
Oakland, CA
(37.781267, -122.207016)"
GRAND THEFT,11/23/2015 05:00:00 PM,15-915690,GRAND THEFT,05Y,1700 PERALTA ST,Oakland,CA,"1700 PERALTA ST
Oakland, CA
(37.813506, -122.292234)"
MISDEMEANOR ASSAULT,11/25/2015 04:30:00 PM,15-062839,BATTERY,06X,600 35TH ST,Oakland,CA,"600 35TH ST
Oakland, CA
(37.82419, -122.269826)"
VANDALISM,11/24/2015 10:15:00 PM,15-915681,VANDALISM,,462-498 21ST,Oakland,CA,"462-498 21ST
Oakland, CA
"
MISDEMEANOR ASSAULT,11/24/2015 01:37:00 PM,15-062666,BATTERY,18Y,1800 E 25TH ST,Oakland,CA,"1800 E 25TH ST
Oakland, CA
(37.794874, -122.233958)"
MISDEMEANOR ASSAULT,11/26/2015 11:30:00 AM,15-062938,BATTERY,02X,700 13TH ST,Oakland,CA,"700 13TH ST
Oakland, CA
(37.805784, -122.276999)"
BURG - AUTO,11/24/2015 07:05:00 PM,15-915683,BURGLARY-AUTO,08X,2300 BROADWAY,Oakland,CA,"2300 BROADWAY
Oakland, CA
(37.812397, -122.266078)"
ROBBERY,11/25/2015 07:32:00 PM,15-062857,ROBBERY/INHABITED DWELLING - FIREARM,27Y,2000 64TH AV,Oakland,CA,"2000 64TH AV
Oakland, CA
(37.76533, -122.192306)"
